full-name,short-name,lon,lat
Abcoude,ac,3.466925528958701,48.40598557298854
Leeuwarden Achter De Hoven,adh,3.5399611144438055,48.499207126841824
Arnhem Centraal,ah,3.553430135063289,48.37804499688569
Arnhem Velperpoort,ahp,3.555180914354754,48.37811863756463
Arnhem Presikhaaf,ahpr,3.557274570479276,48.378404539123245
Arnhem Zuid,ahz,3.5489967451526248,48.37501582942132
Arkel,akl,3.4696571798906963,48.36536169840606
Akkrum,akm,3.543051338382089,48.484143190896795
Almere Centrum,alm,3.4888814060952393,48.415921708286774
Almere Buiten,almb,3.494271545681382,48.417936109354315
Almere Muziekwijk,almm,3.4863067344715946,48.41512313623539
Almere Oostvaarders,almo,3.496073395561621,48.41882926176106
Almere Parkwijk,almp,3.4912218286535364,48.41614113866915
Amersfoort,amf,3.503955648040078,48.393999085270636
Amersfoort Schothorst,amfs,3.506730902589004,48.39624737144827
Almelo,aml,3.620970463592164,48.41695385275061
Almere Poort,ampo,3.4828001518932568,48.412583304702125
Alkmaar,amr,3.44428705472144,48.44158424557827
Almelo de Riet,amri,3.6220209480275924,48.415505747617615
Alkmaar Noord,amrn,3.446369697143174,48.442204510244856
Anna Paulowna,ana,3.4501253148257782,48.46462755362926
Apeldoorn,apd,3.5587207999086767,48.40065025338955
Apeldoorn De Maten,apdm,3.5615408636259787,48.400291974613395
Apeldoorn Osseveld,apdo,3.562026836792776,48.40138720334508
Appingedam,apg,3.633510081462669,48.51423590737296
Alphen a/d Rijn,apn,3.4379359106297063,48.390180509177014
Arnemuiden,arn,3.347033127009681,48.32732645944106
Amsterdam Amstel,asa,3.461323974630745,48.4126018616567
Amsterdam Bijlmer ArenA,asb,3.464155225549571,48.4092089040845
Amsterdam Centraal,asd,3.4596179414535877,48.415861394799094
Amsterdam Lelylaan,asdl,3.4535598940584147,48.41370795165733
Amsterdam Muiderpoort,asdm,3.4624932527698284,48.41412268113951
Amsterdam Zuid,asdz,3.4572087020953104,48.41186592855718
Amsterdam Holendrecht,ashd,3.4652854583320516,48.40790737842959
Assen,asn,3.6093212890296353,48.480156356514385
Amsterdam Sloterdijk,ass,3.453734060398603,48.41685612181837
Amsterdam Science Park,assp,3.4639049741644903,48.41357185973239
Aalten,atn,3.61651166468656,48.37323044022834
Amersfoort Vathorst,avat,3.5092972179599906,48.397961904845914
Breda,bd,3.4506272720375435,48.337419732882935
Bunde,bde,3.5429783829438053,48.2690837325812
Bodegraven,bdg,3.44619432554585,48.38601089779295
Bedum,bdm,3.6094191499456008,48.511663343029475
Breda-Prinsenbeek,bdpb,3.4452122325849377,48.33837707420928
Best,bet,3.507808821064096,48.32968920543215
Rotterdam Beurs,beurs,3.4209708148725655,48.369556805104956
Baflo,bf,3.602387282915663,48.51688029518458
Bergen op Zoom,bgn,3.4056091093628593,48.327006231583916
Boven-Hardinxveld,bhdv,3.458530395061714,48.36123435535124
Bentheim Grens,bhg,3.6564089465365432,48.41335654220942
Bilthoven,bhv,3.488377404507501,48.39137223550896
Beek-Elsloo,bk,3.547433298873135,48.27418012054024
Bovenkarspel Flora,bkf,3.490878175304668,48.448054123085264
Bovenkarspel-Grootebroek,bkg,3.489329583981246,48.447929012227725
Breukelen,bkl,3.468529429004219,48.39522980884671
Beilen,bl,3.605628394178326,48.466348935197175
Bloemendaal,bll,3.434434909830782,48.41810232271653
Brummen,bmn,3.575681445803987,48.389253734931934
Boxmeer,bmr,3.5586047530861893,48.34413664045997
Borne,bn,3.6298770820138038,48.411316292383034
Barneveld Centrum,bnc,3.523906552693955,48.393057404470056
Bunnik,bnk,3.487822181509311,48.384731135310794
Barneveld Noord,bnn,3.52467984018066,48.39510111542701
Barneveld Zuid,bnz,3.5251369903681016,48.3919097345722
Buitenpost,bp,3.569297274932815,48.50560932705831
Blerick,br,3.580133097552591,48.31740430988739
Barendrecht,brd,3.428803669658348,48.363134539945435
Baarn,brn,3.4952927333107287,48.39931630540273
Beesd,bsd,3.4883008320590787,48.36834888372445
Boskoop,bsk,3.4370181519222887,48.38538389519051
Boskoop Snijdelwijk,bsks,3.4369587322584265,48.38449323541743
Bussum Zuid,bsmz,3.4841221673045726,48.404868797165356
Boxtel,btl,3.5009782306751793,48.33710414252574
Beverwijk,bv,3.436841801370707,48.425548979240645
Kapelle-Biezelinge,bzl,3.3739026616457513,48.325333908022614
Castricum,cas,3.4370493212351136,48.43228329950496
Cuijk,ck,3.5521031070083486,48.35228791608911
Culemborg,cl,3.491139276998096,48.3731236783292
Coevorden,co,3.6263974646960904,48.44771727198351
Capelle Schollevaar,cps,3.4315124028995507,48.37310257012819
Chevremont,cvm,3.573675670454855,48.267672844538204
Daarlerveen,da,3.6131328228623163,48.425105776311995
Driebergen-Zeist,db,3.4937476255057494,48.385002403147496
Delden,ddn,3.6270056577927083,48.40741621637275
Dordrecht,ddr,3.4396910097418534,48.35853528667883
Dordrecht Stadspolders,ddrs,3.444186968466665,48.35803845705653
Dordrecht Zuid,ddzd,3.4400561262937783,48.356789382955654
