from,to,tarif-unit,ix,dist
zwd,ddr,2,211,2.0
llzm,gd,13,212,13.1
ehv,ht,32,213,30.4
shl,hfd,5,214,4.5
mtr,mt,0,215,1.5
sdm,rtd,4,216,4.1
hil,vh,10,217,10.3
hn,ass,39,218,32.0
dt,rsw,5,219,4.5
hto,rs,7,220,3.8
zd,ass,6,221,5.8
vg,ht,4,222,3.9
gv,laa,0,223,1.7
rta,cps,0,224,2.1
gr,bhdv,6,225,6.2
wfm,ust,3,226,3.0
ddn,hglg,3,227,3.9
etn,bd,11,228,10.2
amrn,amr,0,229,1.8
zzs,wm,3,230,2.4
ssh,nvp,11,231,10.0
wadt,wad,1,232,1.9
gbg,hdb,6,233,5.2
tl,tpsw,2,234,2.7
hde,ns,9,235,8.5
dn,hmbh,9,236,6.3
shl,asdz,11,237,8.2
rsd,odb,7,238,7.4
br,hrt,10,239,9.9
wdn,nvd,8,240,8.8
sog,vk,3,241,3.2
rat,nvd,14,242,12.8
dtc,dtch,2,243,2.5
bl,hgv,14,244,13.8
zl,kpnz,12,245,12.5
vsv,tbg,7,246,6.7
asdl,ass,3,247,3.5
gdg,gd,3,248,2.5
nm,nml,0,249,2.1
wv,swk,13,250,12.4
asdz,shl,11,251,8.2
laa,ledn,15,252,13.6
ck,mmlh,4,253,4.4
mt,mtn,2,254,2.4
gp,ehv,6,255,5.5
tg,rv,7,256,7.6
nm,nmh,3,257,2.1
cps,nwk,5,258,2.6
ac,ashd,2,259,2.5
wad,wadn,0,260,1.2
hfd,nvp,5,261,5.4
stm,lp,4,262,4.1
wm,kma,2,263,2.7
bd,bdpb,5,264,4.3
gdm,bsd,7,265,5.6
tpsw,gdm,10,266,8.4
rsw,gvmw,2,267,1.7
btl,ot,9,268,8.6
ust,uhz,5,269,4.4
rs,ow,12,270,10.6
vk,sgl,3,271,2.5
asd,asdm,4,272,2.9
edc,ed,2,273,1.8
hglg,hgl,2,274,1.4
wadn,bsks,2,275,1.4
dtch,wl,3,276,3.2
zb,spm,7,277,4.8
mg,sknd,11,278,10.4
ass,hlm,12,279,13.5
nml,est,8,280,6.1
hdb,mrb,8,281,7.9
hlm,hlms,0,282,2.4
nwk,gd,9,283,8.3
ledn,vh,8,284,6.5
ass,asd,4,285,4.4
hmbh,hm,0,286,2.8
bhdv,gnd,3,287,2.9
lls,dron,17,288,17.0
mt,bde,6,289,5.6
vh,ledn,8,290,6.5
nmh,mmlh,7,291,6.8
ut,utvr,1,292,1.4
gs,bzl,5,293,4.9
ashd,asb,1,294,1.8
gvmw,gv,2,295,2.0
odb,zvb,8,296,7.8
mmlh,nmh,7,297,6.8
gd,nwk,9,298,8.3
mtn,mes,3,299,2.7
gdm,cl,8,300,7.7
kma,utg,5,301,4.6
nvd,rat,14,302,12.8
nvp,hfd,5,303,5.4
nvp,ssh,11,304,10.0
sgl,mes,3,305,3.4
ns,hd,12,306,11.8
hrt,dn,18,307,17.9
hlms,hwzb,5,308,5.0
bsks,bsk,2,309,1.1
bdpb,zlw,10,310,10.2
lp,apg,8,311,7.7
gnd,hbzm,3,312,1.4
lls,alm,24,313,22.7
ehv,tb,37,314,30.5
tbg,gdr,1,315,1.4
zb,sda,8,316,7.4
utvr,utln,3,317,2.1
bgn,rsd,13,318,12.4
rtd,bd,43,319,42.4
apd,amf,42,320,41.3
wl,did,6,321,6.2
bsk,apn,6,322,5.2
asdz,dvd,4,323,4.7
uhz,uhm,3,324,3.1
lw,dei,4,325,4.3
ot,tb,8,326,8.0
bsd,ldm,7,327,7.1
spm,hgz,1,328,1.7
gd,gdg,3,329,2.5
vry,br,21,330,19.7
rv,sm,6,331,6.2
asb,dvd,2,332,1.4
hm,hmh,0,333,2.3
asdm,asa,2,334,1.8
mes,sgl,3,335,3.4
lw,hr,29,336,27.3
hbzm,sdt,1,337,2.6
bde,bk,7,338,6.6
est,ahz,3,339,4.2
ow,o,0,340,2.0
utln,htn,4,341,3.9
hgv,mp,20,342,19.2
mes,mtn,3,343,2.7
gdr,dtc,5,344,4.7
swk,mp,14,345,12.5
vh,hil,10,346,10.3
hlm,ovn,2,347,2.2
mrb,omn,11,348,10.8
ah,ed,17,349,16.2
kpnz,dron,13,350,13.0
ledn,shl,29,351,24.9
zl,lls,42,352,41.9
nm,nmgo,3,353,2.7
mmlh,ck,4,354,4.4
nvd,wdn,8,355,8.8
bzl,krg,6,356,5.9
std,rm,25,357,23.3
zvb,zlw,8,358,6.8
cl,htnc,10,359,8.5
asa,dvd,2,360,2.9
hmh,hmbv,3,361,1.8
hgl,hglo,2,362,1.9
gv,gvc,0,363,1.2
bnz,bnc,2,364,1.5
hwzb,ass,7,365,6.2
dvd,asa,2,366,2.9
zl,mp,28,367,21.9
nwk,cps,5,368,2.6
utg,cas,4,369,4.0
nmh,nm,3,370,2.1
sgl,vk,3,371,2.5
hgz,mth,2,372,2.0
sknd,sk,1,373,1.2
mtn,mt,2,374,2.4
ed,edc,2,375,1.8
zl,kpn,15,376,13.0
apg,dzw,3,377,3.1
dei,drp,7,378,6.3
tb,tbu,0,379,2.3
ledn,dvnk,3,380,2.7
gdg,wd,13,381,13.0
hrl,std,19,382,14.8
uhm,rd,3,383,2.7
ovn,zvt,6,384,5.3
asdz,rai,0,385,1.2
ahz,ah,8,386,4.6
ssh,ledn,8,387,6.0
hmbv,ehv,10,388,9.0
dvd,hvs,25,389,19.9
gd,llzm,13,390,13.1
htn,htnc,0,391,2.0
sda,ws,5,392,4.8
sm,rm,5,393,5.4
ledn,had,25,394,23.1
hd,eml,4,395,4.0
sdt,sdtb,3,396,2.4
amf,dld,9,397,8.8
zlw,ddzd,15,398,11.0
zl,amf,66,399,62.6
bd,tb,21,400,21.3
hglo,odz,9,401,8.9
nmgo,nmd,2,402,1.9
did,zv,5,403,4.3
mth,kw,1,404,1.2
zl,dl,12,405,11.3
dvd,asb,2,406,1.4
zp,bmn,7,407,6.8
hn,obd,11,408,10.7
cps,rta,0,409,2.1
ah,otb,4,410,4.2
o,rvs,8,411,7.8
brn,sd,5,412,3.0
cas,hlo,7,413,6.6
rai,dvd,4,414,3.5
vk,sog,3,415,3.2
dzw,dz,1,416,1.2
dvnk,vst,2,417,2.9
ledn,ldl,0,418,2.3
hrl,hb,4,419,3.5
uto,bhv,6,420,5.8
ldm,akl,7,421,7.2
asa,asdm,2,422,1.8
tbu,tbr,5,423,4.0
krg,kbd,7,424,6.6
omn,dl,11,425,10.7
bk,lut,4,426,4.1
ddr,ddzd,0,427,1.9
ht,ut,48,428,46.1
sk,ijt,3,429,3.2
edc,ltn,6,430,5.5
dron,kpnz,13,431,13.0
sdtb,ddrs,4,432,3.6
apn,ldl,15,433,11.6
bd,gz,10,434,10.2
ah,nm,19,435,16.0
kw,gerp,10,436,10.3
hil,had,7,437,6.9
ck,bmr,10,438,10.2
rtb,ddr,20,439,17.6
ddr,rtb,20,440,17.6
nmd,wc,4,441,4.7
rta,rtn,5,442,5.0
rhn,vndc,8,443,7.1
dn,hm,9,444,9.1
htnc,htn,0,445,2.0
htnc,cl,10,446,8.5
ut,db,12,447,10.5
asb,ashd,1,448,1.8
mrb,vhp,6,449,5.8
otb,wf,4,450,3.4
dv,twl,5,451,4.8
mp,zl,28,452,21.9
ut,asb,27,453,27.2
cas,zd,17,454,15.9
gvc,gd,27,455,26.9
drp,fn,6,456,5.8
wdn,aml,5,457,4.2
dron,lls,17,458,17.0
rat,hno,6,459,5.5
bnc,bnn,3,460,2.4
sog,kmr,2,461,1.7
ut,wd,16,462,14.8
vst,gvm,6,463,5.8
had,ledn,25,464,23.1
eml,pt,5,465,4.9
hb,nh,3,466,3.1
mt,mtr,0,467,1.5
dvd,dmnz,2,468,1.5
ed,db,29,469,28.6
ijt,wk,13,470,11.7
ah,ahz,8,471,4.6
ddzd,zlw,15,472,11.0
ww,www,1,473,1.1
zv,dvn,5,474,4.5
sd,st,0,475,1.3
tbr,gz,6,476,4.9
rvs,wc,7,477,6.8
bhv,dld,3,478,2.9
lut,std,4,479,3.7
bmn,dr,6,480,5.9
htn,utln,4,481,3.9
ashd,ac,2,482,2.5
ddrs,ddr,3,483,3.4
utvr,bnk,7,484,5.3
dld,bhv,3,485,2.9
ldl,apn,15,486,11.6
ut,gd,32,487,28.9
br,vl,2,488,1.6
ddzd,ddr,0,489,1.9
wdn,rsn,8,490,7.3
rd,uhm,3,491,2.7
www,ltv,9,492,8.5
ampo,ndb,7,493,7.0
kbd,rb,3,494,3.3
had,hlm,4,495,3.8
std,lut,4,496,3.7
asdm,assp,1,497,1.2
akl,gr,5,498,4.6
kmr,vdl,4,499,3.6
ht,vg,4,500,3.9
hlo,amr,5,501,5.0
rtn,rtd,5,502,2.1
wf,ed,9,503,8.6
dmnz,wp,7,504,6.2
llzm,ztmo,2,505,1.7
ah,ahp,1,506,1.4
nh,sn,3,507,2.5
wc,rvs,7,508,6.8
pt,nkk,7,509,7.3
gz,tbr,6,510,4.9
fn,hlg,9,511,8.3
cl,gdm,8,512,7.7
aml,amri,2,513,2.0
vhp,da,2,514,1.9
dl,zl,12,515,11.3
ws,sda,5,516,4.8
dl,omn,11,517,10.7
gvm,laa,4,518,2.3
gz,bd,10,519,10.2
twl,apdo,7,520,6.9
dvn,wtv,4,521,3.8
bnn,hvl,9,522,9.6
asd,hvs,30,523,25.6
hno,zl,12,524,12.3
dz,dzw,1,525,1.2
wd,bkl,19,526,11.7
bhv,uto,6,527,5.8
utln,utvr,3,528,2.1
ahz,est,3,529,4.2
hr,swk,24,530,23.2
assp,dmn,2,531,1.8
ahp,ahpr,2,532,1.7
vndc,vndw,0,533,1.5
db,klp,22,534,21.7
hm,ehv,13,535,13.0
ac,bkl,12,536,11.9
bmr,vlb,7,537,7.1
dr,rh,6,538,6.3
rb,bgn,16,539,12.2
alm,asd,26,540,21.5
vg,btl,8,541,8.1
ztmo,ztm,0,542,1.1
odz,hglo,9,543,8.9
sn,sbk,2,544,1.7
rm,wt,24,545,21.2
st,stz,0,546,1.0
kpnz,zl,12,547,12.5
dzw,apg,3,548,3.1
kpn,zl,15,549,13.0
uhm,uhz,3,550,3.1
gerp,gn,2,551,1.5
bnk,db,4,552,4.4
ldl,ledn,0,553,2.3
da,vz,5,554,4.6
obd,hwd,6,555,5.8
vdl,hrlw,2,556,1.9
dld,amf,9,557,8.8
dmn,wp,7,558,6.3
lut,bk,4,559,4.1
ht,tb,22,560,20.5
wc,nmd,4,561,4.7
rsn,hon,7,562,7.5
tbu,tb,0,563,2.3
amri,bn,7,564,7.3
sbk,gln,3,565,2.7
zvt,ovn,6,566,5.3
ztm,ypb,5,567,5.9
utvr,ut,1,568,1.4
stz,dld,7,569,5.0
wtv,ahp,4,570,4.2
mp,swk,14,571,12.5
rm,sm,5,572,5.4
vndw,mrn,15,573,11.7
sdt,gnd,4,574,4.0
ut,htnc,8,575,9.3
laa,gvc,0,576,1.2
rvs,o,8,577,7.8
zp,dv,16,578,12.7
tbr,tbu,5,579,4.0
tb,ht,22,580,20.5
hrlw,hrl,2,581,1.7
ahp,wtv,4,582,4.2
ltn,bnz,5,583,5.1
nkk,avat,5,584,5.2
rtd,rta,10,585,6.5
ahpr,vp,3,586,2.6
est,nml,8,587,6.1
ltv,rl,13,588,12.7
wd,vtn,9,589,8.3
sda,zb,8,590,7.4
apg,lp,8,591,7.7
zlw,zvb,8,592,6.8
apdo,apd,3,593,2.4
wk,hnp,4,594,3.7
db,mrn,8,595,7.6
wd,bdg,11,596,10.1
uhz,ust,5,597,4.4
gln,std,4,598,4.0
vz,aml,6,599,6.1
rh,vp,4,600,3.9
nmd,nmgo,2,601,1.9
asd,alm,26,602,21.5
bk,bde,7,603,6.6
uto,ut,3,604,2.5
hlg,hlgh,1,605,1.1
apn,bdg,8,606,7.7
wtv,dvn,4,607,3.8
hvs,amf,16,608,15.1
tb,ot,8,609,8.0
omn,mrb,11,610,10.8
hglo,hgl,2,611,1.9
hvl,amf,7,612,6.1
bn,hgl,5,613,5.2
std,srn,7,614,6.6
zd,zdk,3,615,2.0
vlb,vry,7,616,7.4
zp,lc,17,617,16.0
shl,rtd,47,618,47.2
ahp,ah,1,619,1.4
apn,bsk,6,620,5.2
bkl,mas,5,621,5.0
ut,ht,48,622,46.1
vp,rh,4,623,3.9
sm,rv,6,624,6.2
btl,bet,10,625,9.6
ypb,vb,4,626,2.6
nm,o,24,627,23.7
zlw,bdpb,10,628,10.2
tb,bd,21,629,21.3
hon,dvc,15,630,14.5
vtn,utt,2,631,2.3
hnp,kmw,5,632,4.9
wp,ampo,9,633,8.1
amf,hvs,16,634,15.1
avat,amfs,3,635,2.9
nml,nm,0,636,2.1
asd,asa,6,637,3.8
nmgo,nm,3,638,2.7
mp,hgv,20,639,19.2
amf,ut,21,640,19.2
hlm,ass,12,641,13.5
zvb,odb,8,642,7.8
ovn,hlm,2,643,2.2
ed,klp,7,644,7.1
amf,amfs,3,645,3.3
