from,to,tarif-unit,ix,dist
shl,asd,19,936,12.2
dr,zp,13,937,12.8
za,hmn,3,938,3.4
bv,hlm,13,939,10.1
hgz,zb,8,940,6.5
arn,mdb,4,941,3.7
hdb,omn,19,942,16.0
rsn,wdn,8,943,7.3
hmn,op,3,944,2.5
zp,dr,13,945,12.8
ltv,www,9,946,8.5
wz,zl,9,947,8.3
gs,bgn,37,948,28.1
op,ktr,4,949,3.7
dv,aml,39,950,35.4
hnk,hks,10,951,7.8
co,na,11,952,9.8
mdb,vss,6,953,3.7
atn,ww,12,954,10.7
nvd,aml,13,955,13.1
dvd,alm,21,956,19.9
rm,std,25,957,23.3
ktr,tl,12,958,12.0
vss,vs,0,959,2.1
asn,zl,78,960,63.0
www,ww,1,961,1.1
hks,bkg,4,962,3.7
rat,zl,18,963,17.8
dr,ah,16,964,15.5
aml,hgl,14,965,14.3
swk,hr,24,966,23.2
bkg,bkf,0,967,1.0
std,mt,21,968,20.0
bkf,ekz,4,969,2.3
alm,almb,6,970,4.6
zl,swk,42,971,31.9
hgl,es,8,972,7.9
almb,lls,18,973,18.3
hr,lw,29,974,27.3
asn,gn,28,975,24.3
ddr,bd,30,976,24.8
nsch,ws,12,977,12.0
bd,ddr,30,978,24.8
cas,amr,12,979,11.6
ut,utm,18,980,1.4
utm,ut,18,981,1.4
rd,eem,7,982,6.4
eem,rd,7,983,6.4
htnc,ut,8,984,9.3
hlm,bv,13,985,10.1
bv,cas,10,986,7.5
bgn,gs,37,987,28.1
gs,mdb,19,988,18.9
mdb,vs,6,989,5.6
klp,db,22,990,21.7
asb,asa,4,991,4.3
asa,asb,4,992,4.3
ws,nsch,12,993,12.0
rtd,ddr,20,994,18.9
amf,nkk,11,995,11.3
est,nm,8,996,8.2
nkk,hd,16,997,15.4
std,gln,4,998,4.0
gln,sbk,3,999,2.7
hd,zl,39,1000,37.0
sbk,sn,2,1001,1.7
sn,nh,3,1002,2.5
nh,hb,3,1003,3.1
hb,hrl,4,1004,3.5
nm,est,8,1005,8.2
htn,cl,10,1006,10.5
rd,wfm,14,1007,13.1
asb,asd,10,1008,8.1
asd,asb,10,1009,8.1
ed,ut,41,1010,39.1
gv,ledn,15,1011,15.3
wfm,wsm,8,1012,7.4
ddr,rtd,20,1013,18.9
hlm,asd,16,1014,17.8
asd,hlm,16,1015,17.8
asd,ut,37,1016,35.3
