from,to,tarif-unit,ix
mt,bde,6,288
nmh,mmlh,7,289
ut,utvr,1,290
nwk,gd,9,291
hmbh,hm,0,292
vh,ledn,8,293
gvmw,gv,2,294
mmlh,nmh,7,295
mtn,mes,3,296
gs,bzl,5,297
gd,nwk,9,298
odb,zvb,8,299
ashd,asb,1,300
gdm,cl,8,301
nvp,ssh,11,302
kma,utg,5,303
nvd,rat,14,304
bsks,bsk,2,305
lp,apg,8,306
sgl,mes,3,307
hrt,dn,18,308
hlms,hwzb,5,309
bdpb,zlw,10,310
ns,hd,12,311
nvp,hfd,5,312
utvr,utln,3,313
ehv,tb,37,314
zb,sda,8,315
apd,amf,42,316
bgn,rsd,13,317
tbg,gdr,1,318
rtd,bd,43,319
gnd,hbzm,3,320
lls,alm,24,321
wl,did,6,322
hm,hmh,0,323
lw,dei,4,324
gd,gdg,3,325
asdz,dvd,4,326
mes,sgl,3,327
asdm,asa,2,328
uhz,uhm,3,329
lw,hr,29,330
rv,sm,6,331
vry,br,21,332
bsd,ldm,7,333
bsk,apn,6,334
spm,hgz,1,335
ot,tb,8,336
asb,dvd,2,337
gdr,dtc,5,338
swk,mp,14,339
kpnz,dron,13,340
mes,mtn,3,341
bde,bk,7,342
hlm,ovn,2,343
vh,hil,10,344
hbzm,sdt,1,345
hgv,mp,20,346
lg,egh,2,347
utln,htn,4,348
est,ahz,3,349
ah,ed,17,350
mrb,omn,11,351
ow,o,0,352
nm,nmgo,3,353
mmlh,ck,4,354
bzl,krg,6,355
zl,lls,42,356
nvd,wdn,8,357
std,rm,25,358
ledn,shl,29,359
bnz,bnc,2,360
hwzb,ass,7,361
zvb,zlw,8,362
nmh,nm,3,363
asa,dvd,2,364
zl,mp,28,365
cl,htnc,10,366
hmh,hmbv,3,367
hgl,hglo,2,368
gv,gvc,0,369
nwk,cps,5,370
utg,cas,4,371
dvd,asa,2,372
hgz,mth,2,373
sgl,vk,3,374
ledn,dvnk,3,375
dei,drp,7,376
ovn,zvt,6,377
mtn,mt,2,378
apg,dzw,3,379
tb,tbu,0,380
egh,cvm,2,381
uhm,rd,3,382
hrl,std,19,383
gdg,wd,13,384
ed,edc,2,385
sknd,sk,1,386
zl,kpn,15,387
sm,rm,5,388
ledn,had,25,389
htn,htnc,0,390
zlw,ddzd,15,391
ssh,ledn,8,392
ahz,ah,8,393
hmbv,ehv,10,394
gd,llzm,13,395
bd,tb,21,396
amf,dld,9,397
dvd,hvs,25,398
sdt,sdtb,3,399
zl,amf,66,400
gn,zh,12,401
asdz,rai,0,402
sda,ws,5,403
hd,eml,4,404
zl,dl,12,405
did,zv,5,406
hglo,odz,9,407
o,rvs,8,408
cps,rta,0,409
mth,kw,1,410
zp,bmn,7,411
hn,obd,11,412
lw,lwc,3,413
dvd,asb,2,414
ah,otb,4,415
nmgo,nmd,2,416
asa,asdm,2,417
uto,bhv,6,418
cvm,krd,2,419
brn,sd,5,420
cas,hlo,7,421
hrl,hb,4,422
dvnk,vst,2,423
rai,dvd,4,424
ledn,ldl,0,425
vk,sog,3,426
dzw,dz,1,427
ldm,akl,7,428
tbu,tbr,5,429
ddr,ddzd,0,430
kw,gerp,10,431
ck,bmr,10,432
dron,kpnz,13,433
apn,ldl,15,434
sdtb,ddrs,4,435
bd,gz,10,436
ah,nm,19,437
krg,kbd,7,438
ht,ut,48,439
omn,dl,11,440
hil,had,7,441
sk,ijt,3,442
bk,lut,4,443
edc,ltn,6,444
rhn,vndc,8,445
nmd,wc,4,446
ddr,rtb,20,447
htnc,htn,0,448
htnc,cl,10,449
ut,db,12,450
rtb,ddr,20,451
rta,rtn,5,452
dn,hm,9,453
lwc,hdg,7,454
mrb,vhp,6,455
rat,hno,6,456
asb,ashd,1,457
mp,zl,28,458
wdn,aml,5,459
sog,kmr,2,460
dron,lls,17,461
vst,gvm,6,462
ut,wd,16,463
drp,fn,6,464
dv,twl,5,465
eml,pt,5,466
ut,asb,27,467
gvc,gd,27,468
otb,wf,4,469
cas,zd,17,470
had,ledn,25,471
bnc,bnn,3,472
ed,db,29,473
sd,st,0,474
ijt,wk,13,475
zv,dvn,5,476
ww,www,1,477
ah,ahz,8,478
mt,mtr,0,479
dvd,dmnz,2,480
ddzd,zlw,15,481
hb,nh,3,482
tbr,gz,6,483
lut,std,4,484
htn,utln,4,485
utvr,bnk,7,486
rvs,wc,7,487
bmn,dr,6,488
ashd,ac,2,489
bhv,dld,3,490
ldl,apn,15,491
dld,bhv,3,492
ddrs,ddr,3,493
ampo,ndb,7,494
www,ltv,9,495
rtn,rtd,5,496
std,lut,4,497
wdn,rsn,8,498
kbd,rb,3,499
ht,vg,4,500
akl,gr,5,501
had,hlm,4,502
br,vl,2,503
kmr,vdl,4,504
ddzd,ddr,0,505
hlo,amr,5,506
asdm,assp,1,507
ut,gd,32,508
rd,uhm,3,509
wc,rvs,7,510
pt,nkk,7,511
dmnz,wp,7,512
llzm,ztmo,2,513
nh,sn,3,514
ah,ahp,1,515
wf,ed,9,516
dz,dzw,1,517
gz,bd,10,518
gz,tbr,6,519
dl,omn,11,520
fn,hlg,9,521
twl,apdo,7,522
ws,sda,5,523
zh,gk,7,524
hno,zl,12,525
asd,hvs,30,526
gvm,laa,4,527
aml,amri,2,528
dvn,wtv,4,529
dl,zl,12,530
cl,gdm,8,531
vhp,da,2,532
bnn,hvl,9,533
db,klp,22,534
ahz,est,3,535
assp,dmn,2,536
ac,bkl,12,537
utln,utvr,3,538
hdg,fwd,4,539
vndc,vndw,0,540
wd,bkl,19,541
hm,ehv,13,542
hr,swk,24,543
bhv,uto,6,544
ahp,ahpr,2,545
bmr,vlb,7,546
st,stz,0,547
kpn,zl,15,548
rm,wt,24,549
odz,hglo,9,550
kpnz,zl,12,551
vg,btl,8,552
sn,sbk,2,553
uhm,uhz,3,554
da,vz,5,555
gerp,gn,2,556
ztmo,ztm,0,557
vdl,hrlw,2,558
dr,rh,6,559
dld,amf,9,560
dzw,apg,3,561
ldl,ledn,0,562
rb,bgn,16,563
alm,asd,26,564
obd,hwd,6,565
bnk,db,4,566
lut,bk,4,567
rsn,hon,7,568
amri,bn,7,569
ht,tb,22,570
tbu,tb,0,571
dmn,wp,7,572
wc,nmd,4,573
zvt,ovn,6,574
tb,ht,22,575
utvr,ut,1,576
laa,gvc,0,577
wtv,ahp,4,578
mp,swk,14,579
ut,htnc,8,580
rm,sm,5,581
vndw,mrn,15,582
ahp,wtv,4,583
stz,dld,7,584
rvs,o,8,585
ztm,ypb,5,586
sdt,gnd,4,587
ltn,bnz,5,588
zp,dv,16,589
hrlw,hrl,2,590
sbk,gln,3,591
tbr,tbu,5,592
est,nml,8,593
nkk,avat,5,594
apg,lp,8,595
ltv,rl,13,596
zlw,zvb,8,597
gk,bp,11,598
apdo,apd,3,599
sda,zb,8,600
rtd,rta,10,601
fwd,dwe,3,602
wd,vtn,9,603
ahpr,vp,3,604
uhz,ust,5,605
wd,bdg,11,606
wk,hnp,4,607
db,mrn,8,608
hlg,hlgh,1,609
bk,bde,7,610
gln,std,4,611
vz,aml,6,612
nmd,nmgo,2,613
asd,alm,26,614
uto,ut,3,615
rh,vp,4,616
apn,bdg,8,617
hvl,amf,7,618
hvs,amf,16,619
krd,cvm,2,620
omn,mrb,11,621
bn,hgl,5,622
wtv,dvn,4,623
shl,rtd,47,624
std,srn,7,625
vlb,vry,7,626
tb,ot,8,627
zp,lc,17,628
zd,zdk,3,629
ahp,ah,1,630
hglo,hgl,2,631
dwe,bp,7,632
vp,rh,4,633
zlw,bdpb,10,634
hon,dvc,15,635
nm,o,24,636
ypb,vb,4,637
ut,ht,48,638
sm,rv,6,639
tb,bd,21,640
