full-name,short-name,lon,lat
Abcoude,ac,48.40598557298854,3.466925528958701
Leeuwarden Achter De Hoven,adh,48.499207126841824,3.5399611144438055
Arnhem Centraal,ah,48.37804499688569,3.553430135063289
Arnhem Velperpoort,ahp,48.37811863756463,3.555180914354754
Arnhem Presikhaaf,ahpr,48.378404539123245,3.557274570479276
Arnhem Zuid,ahz,48.37501582942132,3.5489967451526248
Arkel,akl,48.36536169840606,3.4696571798906963
Akkrum,akm,48.484143190896795,3.543051338382089
Almere Centrum,alm,48.415921708286774,3.4888814060952393
Almere Buiten,almb,48.417936109354315,3.494271545681382
Almere Muziekwijk,almm,48.41512313623539,3.4863067344715946
Almere Oostvaarders,almo,48.41882926176106,3.496073395561621
Almere Parkwijk,almp,48.41614113866915,3.4912218286535364
Amersfoort,amf,48.393999085270636,3.503955648040078
Amersfoort Schothorst,amfs,48.39624737144827,3.506730902589004
Almelo,aml,48.41695385275061,3.620970463592164
Almere Poort,ampo,48.412583304702125,3.4828001518932568
Alkmaar,amr,48.44158424557827,3.44428705472144
Almelo de Riet,amri,48.415505747617615,3.6220209480275924
Alkmaar Noord,amrn,48.442204510244856,3.446369697143174
Anna Paulowna,ana,48.46462755362926,3.4501253148257782
Apeldoorn,apd,48.40065025338955,3.5587207999086767
Apeldoorn De Maten,apdm,48.400291974613395,3.5615408636259787
Apeldoorn Osseveld,apdo,48.40138720334508,3.562026836792776
Appingedam,apg,48.51423590737296,3.633510081462669
Alphen a/d Rijn,apn,48.390180509177014,3.4379359106297063
Arnemuiden,arn,48.32732645944106,3.347033127009681
Amsterdam Amstel,asa,48.4126018616567,3.461323974630745
Amsterdam Bijlmer ArenA,asb,48.4092089040845,3.464155225549571
Amsterdam Centraal,asd,48.415861394799094,3.4596179414535877
Amsterdam Lelylaan,asdl,48.41370795165733,3.4535598940584147
Amsterdam Muiderpoort,asdm,48.41412268113951,3.4624932527698284
Amsterdam Zuid,asdz,48.41186592855718,3.4572087020953104
Amsterdam Holendrecht,ashd,48.40790737842959,3.4652854583320516
Assen,asn,48.480156356514385,3.6093212890296353
Amsterdam Sloterdijk,ass,48.41685612181837,3.453734060398603
Amsterdam Science Park,assp,48.41357185973239,3.4639049741644903
Aalten,atn,48.37323044022834,3.61651166468656
Amersfoort Vathorst,avat,48.397961904845914,3.5092972179599906
Breda,bd,48.337419732882935,3.4506272720375435
Bunde,bde,48.2690837325812,3.5429783829438053
Bodegraven,bdg,48.38601089779295,3.44619432554585
Bedum,bdm,48.511663343029475,3.6094191499456008
Breda-Prinsenbeek,bdpb,48.33837707420928,3.4452122325849377
Best,bet,48.32968920543215,3.507808821064096
Rotterdam Beurs,beurs,48.369556805104956,3.4209708148725655
Baflo,bf,48.51688029518458,3.602387282915663
